Epaisseur;Degre Invagination
220,8965;1,442388
204,3478;1,237235
233,5652;1,162153
168,6538;1,499285
151,0323;1,330375
178,3462;1,26617
221,7143;1,346981
216,037;1,255049
215,0385;1,266086
251,2917;1,129044
158,1481;1,278565
165,24;1,325056
218,6538;1,792436
222,8148;1,517299
164,6552;1,489691
