Epaisseur;Degre Invaginaion
222,3793;1,34491
216,9231;1,049956
137,92;1,477225
123,6552;1,014413
103,5926;1,152941
142,6364;1,380133
166,7241;1,293612
161,7391;1,429858
124,08;1,280972
151,9259;1,054669
157,6207;1,036048
130,0741;1,226033
146,5714;1,474147
151,3636;1,790709
164,9474;1,024655
